"CSID","CaseMasterID","csdate","cstype","PolicePersonID"
"173","317","2026-01-24T03:08:00.000Z","A","1317"
"174","319","2026-07-22T00:17:00.000Z","A","1319"
"175","320","2026-12-28T18:12:00.000Z","A","1320"
"176","323","2026-09-17T16:36:00.000Z","C","1323"
"177","325","2026-08-01T10:25:00.000Z","A","1325"
"178","327","2025-08-13T14:15:00.000Z","A","1327"
"179","328","2024-03-20T04:12:00.000Z","A","1328"
"180","330","2026-09-10T14:46:00.000Z","A","1330"
"181","331","2026-04-23T15:11:00.000Z","A","1331"
"182","332","2025-03-25T15:19:00.000Z","A","1332"
"183","333","2027-01-05T14:56:00.000Z","A","1333"
"184","334","2026-07-03T11:16:00.000Z","A","1334"
"185","335","2026-08-07T04:36:00.000Z","A","1335"
"186","337","2026-09-13T01:28:00.000Z","A","1337"
"187","338","2025-04-02T19:19:00.000Z","A","1338"
"188","339","2026-03-15T09:50:00.000Z","A","1339"
"189","340","2024-11-04T04:03:00.000Z","A","1340"
"190","341","2025-12-13T19:50:00.000Z","C","1341"
"191","342","2026-12-26T16:48:00.000Z","A","1342"
"192","344","2024-10-29T00:12:00.000Z","A","1344"
"193","345","2024-05-25T17:45:00.000Z","A","1345"
"194","347","2025-07-24T03:35:00.000Z","C","1347"
"195","349","2026-05-05T19:39:00.000Z","C","1349"
"196","350","2025-05-30T01:31:00.000Z","A","1350"
"197","351","2025-12-31T08:49:00.000Z","A","1351"
"198","353","2026-04-24T15:06:00.000Z","A","1353"
"199","359","2024-04-11T07:47:00.000Z","C","1359"
"200","362","2025-01-11T09:38:00.000Z","A","1362"
"201","365","2025-06-15T09:15:00.000Z","A","1365"
"202","366","2024-12-10T03:50:00.000Z","A","1366"
"203","367","2026-10-10T19:09:00.000Z","A","1367"
"204","368","2025-06-15T04:26:00.000Z","A","1368"
"205","369","2025-01-21T17:08:00.000Z","A","1369"
"206","370","2025-07-29T05:36:00.000Z","A","1370"
"207","371","2025-10-27T12:03:00.000Z","C","1371"
"208","372","2026-12-01T00:02:00.000Z","A","1372"
"209","373","2026-12-27T05:36:00.000Z","A","1373"
"210","374","2026-06-02T15:29:00.000Z","C","1374"
"211","376","2025-04-03T05:47:00.000Z","A","1376"
"212","377","2025-05-25T18:41:00.000Z","A","1377"
"213","379","2025-10-12T11:48:00.000Z","A","1379"
"214","382","2026-04-29T15:17:00.000Z","A","1382"
"215","384","2024-12-03T15:40:00.000Z","A","1384"
"216","385","2026-01-01T13:14:00.000Z","C","1385"
"217","387","2026-09-22T13:05:00.000Z","A","1387"
"218","390","2026-06-23T10:28:00.000Z","A","1390"
"219","392","2026-01-19T18:28:00.000Z","A","1392"
"220","393","2025-07-19T05:57:00.000Z","A","1393"
"221","394","2026-12-29T17:41:00.000Z","A","1394"
"222","397","2025-05-01T13:31:00.000Z","A","1397"
"223","404","2026-12-26T02:53:00.000Z","A","1404"
"224","405","2025-07-16T17:14:00.000Z","C","1405"
"225","406","2024-11-07T17:49:00.000Z","A","1406"
"226","408","2026-07-17T14:53:00.000Z","A","1408"
"227","409","2026-09-15T21:38:00.000Z","A","1409"
"228","410","2026-04-26T14:30:00.000Z","A","1410"
"229","411","2025-07-04T05:07:00.000Z","A","1411"
"230","415","2024-12-05T01:49:00.000Z","A","1415"
"231","417","2025-06-27T02:23:00.000Z","A","1417"
"232","418","2025-08-24T16:40:00.000Z","A","1418"
"233","420","2025-07-17T00:01:00.000Z","A","1420"
"234","421","2026-04-11T00:52:00.000Z","A","1421"
"235","422","2026-10-26T14:14:00.000Z","A","1422"
"236","425","2025-09-28T23:02:00.000Z","C","1425"
"237","428","2025-07-10T05:52:00.000Z","A","1428"
"238","436","2025-07-04T17:23:00.000Z","A","1436"
"239","437","2026-03-09T00:52:00.000Z","A","1437"
"240","438","2024-09-17T22:20:00.000Z","A","1438"
"241","440","2026-12-26T18:51:00.000Z","A","1440"
"242","442","2025-02-25T02:39:00.000Z","A","1442"
"243","443","2025-02-04T14:42:00.000Z","A","1443"
"244","444","2025-09-04T08:23:00.000Z","C","1444"
"245","445","2026-12-26T11:20:00.000Z","A","1445"
"246","446","2024-11-01T18:20:00.000Z","C","1446"
"247","447","2025-12-30T19:37:00.000Z","C","1447"
"248","448","2024-12-01T04:24:00.000Z","A","1448"
"249","450","2025-04-05T04:42:00.000Z","A","1450"
"250","452","2026-04-02T17:45:00.000Z","A","1452"
"251","454","2025-04-10T15:06:00.000Z","A","1454"
"252","455","2025-01-02T00:53:00.000Z","A","1455"
"253","456","2025-05-02T04:48:00.000Z","A","1456"
"254","457","2026-03-13T22:33:00.000Z","A","1457"
"255","458","2025-03-27T16:27:00.000Z","C","1458"
"256","459","2025-03-05T01:30:00.000Z","A","1459"
"257","460","2025-11-19T18:02:00.000Z","A","1460"
"258","462","2025-05-01T08:30:00.000Z","C","1462"
"259","464","2024-04-24T18:30:00.000Z","A","1464"
"260","465","2025-03-06T02:24:00.000Z","A","1465"
"261","466","2025-05-11T06:20:00.000Z","A","1466"
"262","468","2024-10-09T13:45:00.000Z","A","1468"
"263","469","2025-09-11T10:34:00.000Z","A","1469"
"264","470","2025-04-30T02:51:00.000Z","A","1470"
"265","471","2025-04-28T16:21:00.000Z","A","1471"
"266","473","2026-11-05T17:56:00.000Z","A","1473"
"267","474","2024-10-20T04:10:00.000Z","C","1474"
"268","476","2024-11-28T05:27:00.000Z","A","1476"
"269","478","2026-07-16T12:07:00.000Z","C","1478"
"270","479","2026-10-17T17:15:00.000Z","C","1479"
"271","481","2026-04-08T02:42:00.000Z","A","1481"
"272","482","2025-03-02T22:38:00.000Z","A","1482"
"273","483","2025-02-14T14:18:00.000Z","A","1483"
"274","485","2026-11-03T22:11:00.000Z","A","1485"
"275","487","2025-04-08T09:45:00.000Z","C","1487"
"276","488","2025-08-30T05:17:00.000Z","A","1488"
"277","489","2024-08-30T03:43:00.000Z","A","1489"
"278","490","2025-07-07T13:31:00.000Z","A","1490"
"279","492","2026-12-31T15:29:00.000Z","A","1492"
"280","494","2024-11-06T17:28:00.000Z","C","1494"
"281","495","2026-04-27T22:59:00.000Z","C","1495"
"282","500","2026-05-14T02:54:00.000Z","C","1500"
"283","502","2024-05-02T20:36:00.000Z","A","1502"
"284","504","2026-10-10T08:07:00.000Z","C","1504"
"285","507","2024-10-13T13:51:00.000Z","A","1507"
"286","508","2025-12-11T07:53:00.000Z","A","1508"
"287","510","2026-04-05T00:23:00.000Z","A","1510"
"288","513","2026-07-24T13:14:00.000Z","A","1513"
"289","514","2027-02-23T12:39:00.000Z","A","1514"
"290","515","2026-04-08T06:19:00.000Z","A","1515"
"291","520","2024-11-28T23:59:00.000Z","A","1520"
"292","525","2026-03-04T20:03:00.000Z","C","1525"
"293","526","2024-09-09T23:47:00.000Z","A","1526"
"294","527","2024-07-12T00:02:00.000Z","A","1527"
"295","529","2026-03-11T08:04:00.000Z","C","1529"
"296","531","2024-09-30T13:32:00.000Z","C","1531"
"297","533","2027-01-06T13:33:00.000Z","A","1533"
"298","534","2025-01-26T00:25:00.000Z","A","1534"
"299","535","2024-10-25T09:51:00.000Z","A","1535"
"300","536","2025-11-24T11:56:00.000Z","A","1536"
"301","539","2024-07-17T15:39:00.000Z","A","1539"
"302","540","2026-04-09T09:29:00.000Z","C","1540"
"303","542","2025-09-21T19:06:00.000Z","A","1542"
"304","543","2025-03-23T15:31:00.000Z","A","1543"
"305","544","2026-07-11T09:16:00.000Z","A","1544"
"306","547","2026-10-12T18:33:00.000Z","C","1547"
"307","548","2025-12-06T05:32:00.000Z","A","1548"
"308","549","2025-02-13T08:29:00.000Z","A","1549"
"309","550","2024-06-28T08:26:00.000Z","A","1550"
"310","552","2026-10-01T00:35:00.000Z","A","1552"
"311","553","2025-08-18T21:50:00.000Z","A","1553"
"312","554","2024-09-02T16:21:00.000Z","A","1554"
"313","559","2026-08-06T21:13:00.000Z","A","1559"
"314","560","2025-09-20T22:07:00.000Z","A","1560"
"315","562","2025-09-14T06:03:00.000Z","A","1562"
"316","563","2025-02-02T14:15:00.000Z","A","1563"
"317","564","2026-07-14T08:20:00.000Z","C","1564"
"318","565","2026-10-29T00:41:00.000Z","A","1565"
"319","567","2026-06-10T17:15:00.000Z","A","1567"
"320","568","2026-04-26T11:25:00.000Z","A","1568"
"321","569","2026-02-03T19:37:00.000Z","C","1569"
"322","572","2025-07-26T22:43:00.000Z","A","1572"
"323","574","2025-11-26T20:20:00.000Z","C","1574"
"324","575","2026-12-28T01:52:00.000Z","A","1575"
"325","576","2024-08-10T21:48:00.000Z","C","1576"
"326","577","2026-01-10T15:36:00.000Z","A","1577"
"327","579","2026-02-11T20:20:00.000Z","A","1579"
"328","580","2025-07-06T13:33:00.000Z","C","1580"
"329","581","2025-06-23T14:19:00.000Z","A","1581"
"330","582","2024-10-14T15:12:00.000Z","A","1582"
"331","583","2026-12-15T15:44:00.000Z","A","1583"
"332","585","2026-07-31T17:28:00.000Z","A","1585"
"333","586","2025-04-04T12:57:00.000Z","A","1586"
"334","587","2025-04-11T16:38:00.000Z","A","1587"
"335","591","2025-06-24T12:20:00.000Z","A","1591"
"336","592","2026-08-04T12:07:00.000Z","A","1592"
"337","594","2026-03-12T16:21:00.000Z","C","1594"
"338","595","2027-01-10T22:46:00.000Z","C","1595"
"339","597","2026-08-20T07:18:00.000Z","A","1597"
"340","598","2024-09-07T16:01:00.000Z","A","1598"
"341","599","2026-10-08T22:17:00.000Z","A","1599"
"342","600","2024-07-30T01:30:00.000Z","A","1600"
"343","601","2026-11-09T01:28:00.000Z","C","1601"
"344","602","2026-03-18T03:33:00.000Z","A","1602"
"345","604","2026-03-07T12:26:00.000Z","A","1604"
"346","611","2025-07-15T01:48:00.000Z","C","1611"
"347","612","2025-10-08T05:41:00.000Z","A","1612"
"348","613","2026-03-02T07:05:00.000Z","A","1613"
"349","614","2025-08-05T07:44:00.000Z","A","1614"
"350","615","2025-06-30T01:42:00.000Z","C","1615"
"351","616","2025-04-26T21:20:00.000Z","C","1616"
"352","617","2024-12-21T20:03:00.000Z","A","1617"
"353","618","2025-11-25T04:20:00.000Z","C","1618"
"354","619","2026-03-31T00:21:00.000Z","A","1619"
"355","621","2024-10-15T06:44:00.000Z","A","1621"
"356","624","2025-01-19T10:59:00.000Z","A","1624"
"357","625","2024-11-01T17:55:00.000Z","C","1625"
"358","626","2026-07-16T09:20:00.000Z","C","1626"
"359","627","2024-12-25T08:29:00.000Z","A","1627"
"360","628","2024-07-17T09:34:00.000Z","A","1628"
"361","629","2027-01-09T23:29:00.000Z","A","1629"
"362","632","2025-12-20T12:38:00.000Z","C","1632"
"363","634","2024-06-25T10:54:00.000Z","C","1634"
"364","635","2027-02-10T14:27:00.000Z","A","1635"
"365","636","2025-11-29T23:42:00.000Z","A","1636"
"366","639","2026-12-24T19:35:00.000Z","A","1639"
"367","640","2024-09-23T04:02:00.000Z","A","1640"
"368","644","2024-05-13T03:21:00.000Z","A","1644"
"369","645","2024-12-25T10:13:00.000Z","A","1645"
"370","646","2025-11-15T05:40:00.000Z","A","1646"
"371","648","2024-04-17T12:18:00.000Z","A","1648"
"372","650","2024-08-30T01:01:00.000Z","A","1650"
"373","651","2024-10-29T17:51:00.000Z","C","1651"
"374","652","2025-02-13T00:58:00.000Z","C","1652"
"375","654","2024-08-18T03:48:00.000Z","A","1654"
"376","655","2026-11-01T15:44:00.000Z","A","1655"
"377","656","2025-05-19T18:40:00.000Z","A","1656"
"378","657","2025-06-20T05:16:00.000Z","A","1657"
"379","658","2024-12-01T16:19:00.000Z","C","1658"
"380","661","2025-07-24T13:29:00.000Z","A","1661"
"381","664","2025-04-02T08:47:00.000Z","A","1664"
"382","665","2024-09-22T13:36:00.000Z","A","1665"
"383","666","2024-07-30T12:20:00.000Z","A","1666"
"384","667","2026-09-21T00:53:00.000Z","C","1667"
"385","669","2024-12-24T13:33:00.000Z","A","1669"
"386","670","2024-04-14T07:49:00.000Z","A","1670"
"387","673","2026-03-15T10:38:00.000Z","A","1673"
"388","674","2026-12-24T07:51:00.000Z","A","1674"
"389","675","2026-06-13T04:40:00.000Z","A","1675"
"390","676","2025-12-14T18:59:00.000Z","A","1676"
"391","677","2025-06-18T00:31:00.000Z","A","1677"
"392","678","2024-10-31T16:41:00.000Z","A","1678"
"393","679","2025-04-24T12:27:00.000Z","A","1679"
"394","682","2025-02-04T16:33:00.000Z","A","1682"
"395","683","2024-05-21T09:01:00.000Z","C","1683"
"396","685","2025-05-01T06:23:00.000Z","C","1685"
"397","686","2026-07-31T01:12:00.000Z","C","1686"
"398","687","2026-09-09T22:23:00.000Z","A","1687"
"399","688","2026-04-08T21:28:00.000Z","A","1688"
"400","689","2024-10-13T10:26:00.000Z","A","1689"
"401","690","2024-09-04T03:49:00.000Z","C","1690"
"402","691","2025-03-20T17:48:00.000Z","A","1691"
"403","692","2024-03-03T10:02:00.000Z","A","1692"
"404","693","2025-12-29T15:13:00.000Z","A","1693"
"405","695","2025-08-24T04:31:00.000Z","A","1695"
"406","697","2026-02-09T16:54:00.000Z","C","1697"
"407","701","2025-04-14T14:21:00.000Z","A","1001"
"408","702","2026-07-23T03:27:00.000Z","A","1002"
"409","703","2025-09-16T18:00:00.000Z","A","1003"
"410","704","2026-07-30T05:37:00.000Z","A","1004"
"411","705","2025-10-17T18:07:00.000Z","A","1005"
"412","706","2025-08-10T12:28:00.000Z","A","1006"
"413","707","2026-03-14T19:20:00.000Z","A","1007"
"414","708","2025-08-06T22:00:00.000Z","A","1008"
"415","709","2026-06-28T02:04:00.000Z","C","1009"
"416","710","2024-02-28T00:27:00.000Z","A","1010"
"417","713","2024-09-07T02:21:00.000Z","A","1013"
"418","714","2027-03-03T03:24:00.000Z","A","1014"
"419","716","2026-01-13T05:54:00.000Z","A","1016"
"420","717","2024-04-16T09:30:00.000Z","A","1017"
"421","718","2025-08-22T06:33:00.000Z","A","1018"
"422","721","2024-08-13T16:26:00.000Z","A","1021"
"423","722","2024-09-25T03:41:00.000Z","A","1022"
"424","724","2026-12-14T23:12:00.000Z","A","1024"
"425","725","2026-02-18T01:11:00.000Z","A","1025"
"426","726","2024-04-29T06:41:00.000Z","A","1026"
"427","727","2024-04-11T06:38:00.000Z","A","1027"
"428","728","2024-07-12T07:46:00.000Z","C","1028"
"429","730","2026-06-13T07:45:00.000Z","A","1030"
"430","732","2025-04-05T17:09:00.000Z","A","1032"
"431","733","2025-08-03T23:26:00.000Z","A","1033"
"432","739","2024-07-19T14:59:00.000Z","C","1039"
"433","740","2026-06-06T07:07:00.000Z","A","1040"
"434","742","2024-10-14T06:13:00.000Z","A","1042"
"435","743","2026-02-05T15:57:00.000Z","A","1043"
"436","744","2025-01-28T11:59:00.000Z","A","1044"
"437","745","2024-12-07T04:02:00.000Z","A","1045"
"438","747","2025-07-09T20:06:00.000Z","A","1047"
"439","748","2024-04-28T01:57:00.000Z","A","1048"
"440","749","2027-02-08T21:44:00.000Z","A","1049"
"441","750","2026-10-06T16:04:00.000Z","A","1050"
"442","752","2026-07-08T03:19:00.000Z","A","1052"
"443","753","2024-11-14T08:09:00.000Z","A","1053"
"444","754","2026-02-02T06:14:00.000Z","A","1054"
"445","757","2025-04-03T17:17:00.000Z","A","1057"
"446","760","2026-06-24T04:20:00.000Z","A","1060"
"447","761","2026-06-10T16:59:00.000Z","C","1061"
"448","762","2025-07-11T08:35:00.000Z","A","1062"
"449","766","2026-11-16T17:56:00.000Z","A","1066"
"450","769","2024-11-01T04:41:00.000Z","A","1069"
"451","770","2024-05-25T20:05:00.000Z","A","1070"
"452","772","2024-08-20T13:28:00.000Z","A","1072"
"453","773","2025-09-22T07:40:00.000Z","A","1073"
"454","775","2026-07-11T11:49:00.000Z","A","1075"
"455","776","2024-07-27T22:36:00.000Z","A","1076"
"456","777","2026-03-19T17:20:00.000Z","C","1077"
"457","778","2026-12-20T11:07:00.000Z","A","1078"
"458","782","2025-08-31T00:07:00.000Z","A","1082"
"459","784","2026-04-17T04:56:00.000Z","C","1084"
"460","787","2026-02-11T00:42:00.000Z","A","1087"
"461","788","2024-07-08T13:23:00.000Z","A","1088"
"462","789","2026-05-06T21:21:00.000Z","A","1089"
"463","790","2026-05-03T15:12:00.000Z","A","1090"
"464","791","2025-11-10T21:18:00.000Z","A","1091"
"465","792","2026-09-18T12:04:00.000Z","A","1092"
"466","793","2025-01-03T16:56:00.000Z","A","1093"
"467","794","2026-08-09T14:00:00.000Z","C","1094"
"468","798","2024-12-25T19:35:00.000Z","C","1098"
"469","800","2024-02-19T04:03:00.000Z","A","1100"
"470","801","2024-11-29T02:55:00.000Z","C","1101"
"471","802","2025-12-30T09:11:00.000Z","A","1102"
"472","803","2024-07-26T17:01:00.000Z","C","1103"
"473","804","2027-01-17T18:10:00.000Z","A","1104"
"474","806","2026-06-29T14:14:00.000Z","A","1106"
"475","807","2025-11-09T15:41:00.000Z","A","1107"
"476","811","2025-06-19T03:30:00.000Z","A","1111"
"477","822","2025-06-03T21:58:00.000Z","A","1122"
"478","824","2026-10-02T02:49:00.000Z","A","1124"
"479","825","2024-12-13T07:52:00.000Z","A","1125"
"480","826","2025-04-24T22:02:00.000Z","A","1126"
"481","827","2026-03-28T12:31:00.000Z","A","1127"
"482","828","2024-08-15T21:25:00.000Z","A","1128"
"483","829","2024-06-03T21:49:00.000Z","A","1129"
"484","833","2025-05-17T20:14:00.000Z","C","1133"
"485","838","2026-09-11T13:24:00.000Z","A","1138"
"486","839","2025-09-17T06:28:00.000Z","A","1139"
"487","840","2024-03-05T19:06:00.000Z","A","1140"
"488","842","2025-02-27T22:24:00.000Z","A","1142"
"489","843","2026-12-18T20:42:00.000Z","A","1143"
"490","844","2026-09-14T14:40:00.000Z","A","1144"
"491","846","2025-05-07T01:52:00.000Z","A","1146"
"492","848","2025-11-11T20:13:00.000Z","C","1148"
"493","853","2025-02-06T02:49:00.000Z","A","1153"
"494","855","2024-12-22T16:22:00.000Z","C","1155"
"495","856","2026-01-18T20:29:00.000Z","A","1156"
"496","857","2026-07-06T15:59:00.000Z","A","1157"
"497","858","2025-08-27T12:33:00.000Z","C","1158"
