"CaseMasterID","CrimeNo","CaseNo","CrimeRegisteredDate","PolicePersonID","PoliceStationID","CaseCategoryID","GravityOffenceID","CrimeMajorHeadID","CrimeMinorHeadID","CaseStatusID","CourtID","IncidentFromDate","IncidentToDate","InfoReceivedPSDate","latitude","longitude","BriefFacts"
"23","100020207202600023","202600023","2026-03-07","1023","207","1","2","1","3","1","502","2026-03-07T02:30:00.000Z","2026-03-07T05:30:00.000Z","2026-03-07T03:30:00.000Z","15.2626799","76.8723258","Chain Snatching reported near Ballari Cyber PS. Evidence and witness inputs available for AI review."
"24","100212107202400024","202400024","2024-07-21","1024","2107","1","2","1","3","1","521","2024-07-21T03:06:00.000Z","2024-07-21T08:06:00.000Z","2024-07-21T04:06:00.000Z","12.7328002","76.6850649","Chain Snatching reported near Mandya Cyber PS. Possible North Belt Narcotics Line pattern. Evidence and witness inputs available for AI review."
"25","100030303202500025","202500025","2025-01-16","1025","303","1","2","1","1","1","503","2025-01-16T11:57:00.000Z","2025-01-16T15:57:00.000Z","2025-01-16T12:57:00.000Z","15.6935591","74.4548251","Burglary reported near Belagavi North PS. Evidence and witness inputs available for AI review."
"26","100050504202600026","202600026","2026-07-03","1026","504","1","1","4","7","2","505","2026-07-03T05:02:00.000Z","2026-07-03T06:02:00.000Z","2026-07-03T06:02:00.000Z","12.8000811","77.7151376","Drug Distribution reported near Bengaluru Urban Rural PS. Possible North Belt Narcotics Line pattern. Vehicle KA-21-ZF-1048 seen. Evidence and witness inputs available for AI review."
"27","100010102202600027","202600027","2026-06-26","1027","102","1","2","2","5","1","501","2026-06-26T19:30:00.000Z","2026-06-27T01:30:00.000Z","2026-06-26T20:30:00.000Z","15.9868492","75.9119500","Investment Scam reported near Bagalkote South PS. Night-time MO. Evidence and witness inputs available for AI review."
"28","100050502202500028","202500028","2025-08-19","1028","502","1","2","2","5","1","505","2025-08-19T07:12:00.000Z","2025-08-19T11:12:00.000Z","2025-08-19T08:12:00.000Z","12.8653709","77.8404419","Investment Scam reported near Bengaluru Urban South PS. Vehicle KA-03-MR-1200 seen. Evidence and witness inputs available for AI review."
"29","100090907202500029","202500029","2025-03-19","1029","907","1","2","3","6","1","509","2025-03-19T00:57:00.000Z","2025-03-19T03:57:00.000Z","2025-03-19T01:57:00.000Z","13.0645092","75.8819878","Loan App Fraud reported near Chikkamagaluru Cyber PS. Evidence and witness inputs available for AI review."
"30","100040407202600030","202600030","2026-11-20","1030","407","1","1","4","7","1","504","2026-11-20T07:01:00.000Z","2026-11-20T09:01:00.000Z","2026-11-20T08:01:00.000Z","13.2838858","77.5925918","Drug Distribution reported near Bengaluru Rural Cyber PS. Possible NH-167 Network pattern. Evidence and witness inputs available for AI review."
"31","100303004202400031","202400031","2024-01-27","1031","3004","1","1","4","7","2","530","2024-01-27T07:00:00.000Z","2024-01-27T13:00:00.000Z","2024-01-27T08:00:00.000Z","16.7013206","77.3623466","Drug Distribution reported near Yadgir Rural PS. Vehicle KA-17-YN-1102 seen. Evidence and witness inputs available for AI review."
"32","100030304202600032","202600032","2026-07-06","1032","304","1","1","5","8","1","503","2026-07-06T18:13:00.000Z","2026-07-06T20:13:00.000Z","2026-07-06T19:13:00.000Z","15.9609581","74.6987515","Harassment reported near Belagavi Rural PS. Vehicle KA-27-YS-1116 seen. Night-time MO. Evidence and witness inputs available for AI review."
"33","100181808202400033","202400033","2024-11-04","1033","1808","1","1","6","10","1","518","2024-11-04T17:48:00.000Z","2024-11-04T22:48:00.000Z","2024-11-04T18:48:00.000Z","12.3212432","75.8793657","Robbery reported near Kodagu Women PS. Possible Ring Road Burglary Crew pattern. Night-time MO. Evidence and witness inputs available for AI review."
"34","100070705202400034","202400034","2024-03-16","1034","705","1","1","5","8","1","507","2024-03-16T11:47:00.000Z","2024-03-16T12:47:00.000Z","2024-03-16T12:47:00.000Z","11.8840393","76.7995782","Harassment reported near Chamarajanagar Market PS. Possible Coastal Fraud Cell pattern. Evidence and witness inputs available for AI review."
"35","100313103202400035","202400035","2024-02-26","1035","3103","1","2","1","2","1","531","2024-02-26T21:28:00.000Z","2024-02-27T03:28:00.000Z","2024-02-26T22:28:00.000Z","15.0813471","76.4683417","Vehicle Theft reported near Vijayanagara North PS. Night-time MO. Evidence and witness inputs available for AI review."
"36","100222204202400036","202400036","2024-11-06","1036","2204","1","2","1","1","1","522","2024-11-06T13:09:00.000Z","2024-11-06T16:09:00.000Z","2024-11-06T14:09:00.000Z","12.4277562","76.7766302","Burglary reported near Mysuru Rural PS. Evidence and witness inputs available for AI review."
"37","100090906202400037","202400037","2024-02-07","1037","906","1","1","5","8","1","509","2024-02-07T06:55:00.000Z","2024-02-07T09:55:00.000Z","2024-02-07T07:55:00.000Z","13.5066470","75.8522946","Harassment reported near Chikkamagaluru Traffic PS. Vehicle KA-06-YD-1207 seen. Evidence and witness inputs available for AI review."
"38","100050508202400038","202400038","2024-09-20","1038","508","1","1","6","10","1","505","2024-09-20T09:59:00.000Z","2024-09-20T15:59:00.000Z","2024-09-20T10:59:00.000Z","13.0244931","77.8111923","Robbery reported near Bengaluru Urban Women PS. Vehicle KA-18-JB-1156 seen. Evidence and witness inputs available for AI review."
"39","100060606202500039","202500039","2025-11-24","1039","606","1","2","2","4","1","506","2025-11-24T06:36:00.000Z","2025-11-24T07:36:00.000Z","2025-11-24T07:36:00.000Z","17.7013446","77.5716982","UPI Fraud reported near Bidar Traffic PS. Evidence and witness inputs available for AI review."
"40","100121202202600040","202600040","2026-09-06","1040","1202","1","1","4","7","2","512","2026-09-06T06:12:00.000Z","2026-09-06T07:12:00.000Z","2026-09-06T07:12:00.000Z","14.4743813","76.0901000","Drug Distribution reported near Davanagere South PS. Vehicle KA-08-QC-1017 seen. Evidence and witness inputs available for AI review."
"41","100060608202500041","202500041","2025-07-21","1041","608","1","2","3","6","1","506","2025-07-21T22:10:00.000Z","2025-07-21T23:10:00.000Z","2025-07-21T23:10:00.000Z","17.6525159","77.7366817","Loan App Fraud reported near Bidar Women PS. Night-time MO. Evidence and witness inputs available for AI review."
"42","100282804202500042","202500042","2025-06-18","1042","2804","1","2","1","1","2","528","2025-06-18T20:40:00.000Z","2025-06-18T22:40:00.000Z","2025-06-18T21:40:00.000Z","14.9358327","74.4088872","Burglary reported near Uttara Kannada Rural PS. Vehicle KA-01-SG-1034 seen. Night-time MO. Evidence and witness inputs available for AI review."
"43","100080802202600043","202600043","2026-06-12","1043","802","1","2","2","5","2","508","2026-06-12T02:00:00.000Z","2026-06-12T03:00:00.000Z","2026-06-12T03:00:00.000Z","13.4518016","77.9956384","Investment Scam reported near Chikkaballapura South PS. Possible Coastal Fraud Cell pattern. Vehicle KA-02-TY-1063 seen. Evidence and witness inputs available for AI review."
"44","100151504202600044","202600044","2026-04-21","1044","1504","1","2","1","3","2","515","2026-04-21T00:31:00.000Z","2026-04-21T04:31:00.000Z","2026-04-21T01:31:00.000Z","13.1953379","76.1226940","Chain Snatching reported near Hassan Rural PS. Evidence and witness inputs available for AI review."
"45","100121204202500045","202500045","2025-11-08","1045","1204","1","1","6","10","1","512","2025-11-08T02:55:00.000Z","2025-11-08T05:55:00.000Z","2025-11-08T03:55:00.000Z","14.5173511","75.6837630","Robbery reported near Davanagere Rural PS. Vehicle KA-09-XY-1142 seen. Evidence and witness inputs available for AI review."
"46","100161603202500046","202500046","2025-02-09","1046","1603","1","2","1","2","2","516","2025-02-09T01:21:00.000Z","2025-02-09T03:21:00.000Z","2025-02-09T02:21:00.000Z","15.0167909","75.4319676","Vehicle Theft reported near Haveri North PS. Evidence and witness inputs available for AI review."
"47","100020203202600047","202600047","2026-09-06","1047","203","1","2","2","4","1","502","2026-09-06T14:18:00.000Z","2026-09-06T20:18:00.000Z","2026-09-06T15:18:00.000Z","14.9683708","76.9609667","UPI Fraud reported near Ballari North PS. Evidence and witness inputs available for AI review."
"48","100080802202600048","202600048","2026-11-14","1048","802","1","2","3","6","1","508","2026-11-14T22:43:00.000Z","2026-11-15T00:43:00.000Z","2026-11-14T23:43:00.000Z","13.4500309","77.9920217","Loan App Fraud reported near Chikkaballapura South PS. Night-time MO. Evidence and witness inputs available for AI review."
"49","100191901202400049","202400049","2024-06-03","1049","1901","1","2","3","6","2","519","2024-06-03T07:06:00.000Z","2024-06-03T10:06:00.000Z","2024-06-03T08:06:00.000Z","13.3591430","78.1555145","Loan App Fraud reported near Kolar Central PS. Evidence and witness inputs available for AI review."
"50","100111105202600050","202600050","2026-05-26","1050","1105","1","2","1","2","1","511","2026-05-26T14:04:00.000Z","2026-05-26T17:04:00.000Z","2026-05-26T15:04:00.000Z","12.8353108","75.0054219","Vehicle Theft reported near Dakshina Kannada Market PS. Evidence and witness inputs available for AI review."
"51","100272707202500051","202500051","2025-12-06","1051","2707","1","1","4","7","1","527","2025-12-06T20:35:00.000Z","2025-12-06T21:35:00.000Z","2025-12-06T21:35:00.000Z","13.5623118","74.5394205","Drug Distribution reported near Udupi Cyber PS. Night-time MO. Evidence and witness inputs available for AI review."
"52","100151507202400052","202400052","2024-06-09","1052","1507","1","2","2","4","1","515","2024-06-09T04:38:00.000Z","2024-06-09T07:38:00.000Z","2024-06-09T05:38:00.000Z","12.9392156","76.2293472","UPI Fraud reported near Hassan Cyber PS. Evidence and witness inputs available for AI review."
"53","100010105202600053","202600053","2026-12-18","1053","105","1","1","6","10","2","501","2026-12-18T01:27:00.000Z","2026-12-18T06:27:00.000Z","2026-12-18T02:27:00.000Z","16.3601354","75.6828334","Robbery reported near Bagalkote Market PS. Evidence and witness inputs available for AI review."
"54","100080806202500054","202500054","2025-07-18","1054","806","1","2","1","1","2","508","2025-07-18T05:56:00.000Z","2025-07-18T11:56:00.000Z","2025-07-18T06:56:00.000Z","13.2355264","77.8859695","Burglary reported near Chikkaballapura Traffic PS. Evidence and witness inputs available for AI review."
"55","100191903202500055","202500055","2025-07-19","1055","1903","1","2","2","4","2","519","2025-07-19T13:42:00.000Z","2025-07-19T18:42:00.000Z","2025-07-19T14:42:00.000Z","13.0178517","78.1225311","UPI Fraud reported near Kolar North PS. Evidence and witness inputs available for AI review."
"56","100141403202500056","202500056","2025-10-09","1056","1403","1","1","6","10","1","514","2025-10-09T07:08:00.000Z","2025-10-09T13:08:00.000Z","2025-10-09T08:08:00.000Z","15.3517496","75.8243036","Robbery reported near Gadag North PS. Possible North Belt Narcotics Line pattern. Evidence and witness inputs available for AI review."
"57","100040402202500057","202500057","2025-08-13","1057","402","1","2","3","6","1","504","2025-08-13T10:26:00.000Z","2025-08-13T12:26:00.000Z","2025-08-13T11:26:00.000Z","13.0524970","77.3435049","Loan App Fraud reported near Bengaluru Rural South PS. Possible Coastal Fraud Cell pattern. Evidence and witness inputs available for AI review."
"58","100141406202600058","202600058","2026-04-20","1058","1406","1","1","6","10","2","514","2026-04-20T06:06:00.000Z","2026-04-20T09:06:00.000Z","2026-04-20T07:06:00.000Z","15.1851342","75.7806112","Robbery reported near Gadag Traffic PS. Possible NH-167 Network pattern. Vehicle KA-24-UV-1044 seen. Evidence and witness inputs available for AI review."
"59","100101003202500059","202500059","2025-03-22","1059","1003","1","2","2","4","2","510","2025-03-22T05:00:00.000Z","2025-03-22T11:00:00.000Z","2025-03-22T06:00:00.000Z","14.3241142","76.6270977","UPI Fraud reported near Chitradurga North PS. Possible Ring Road Burglary Crew pattern. Evidence and witness inputs available for AI review."
"60","100030304202500060","202500060","2025-01-05","1060","304","1","1","6","10","1","503","2025-01-05T12:26:00.000Z","2025-01-05T14:26:00.000Z","2025-01-05T13:26:00.000Z","16.0103171","74.7422796","Robbery reported near Belagavi Rural PS. Evidence and witness inputs available for AI review."
"61","100202001202500061","202500061","2025-02-27","1061","2001","1","2","2","4","2","520","2025-02-27T03:26:00.000Z","2025-02-27T05:26:00.000Z","2025-02-27T04:26:00.000Z","15.1921905","76.3560731","UPI Fraud reported near Koppal Central PS. Evidence and witness inputs available for AI review."
"62","100111108202400062","202400062","2024-05-05","1062","1108","1","2","1","2","1","511","2024-05-05T11:14:00.000Z","2024-05-05T13:14:00.000Z","2024-05-05T12:14:00.000Z","12.8164744","75.0169265","Vehicle Theft reported near Dakshina Kannada Women PS. Evidence and witness inputs available for AI review."
"63","100222206202500063","202500063","2025-09-09","1063","2206","1","2","2","4","1","522","2025-09-09T11:24:00.000Z","2025-09-09T16:24:00.000Z","2025-09-09T12:24:00.000Z","12.3952607","76.4511068","UPI Fraud reported near Mysuru Traffic PS. Evidence and witness inputs available for AI review."
"64","100131308202500064","202500064","2025-09-18","1064","1308","1","2","3","6","1","513","2025-09-18T22:32:00.000Z","2025-09-18T23:32:00.000Z","2025-09-18T23:32:00.000Z","15.5210293","75.1435373","Loan App Fraud reported near Dharwad Women PS. Night-time MO. Evidence and witness inputs available for AI review."
"65","100111105202400065","202400065","2024-02-14","1065","1105","1","1","4","7","2","511","2024-02-14T00:37:00.000Z","2024-02-14T04:37:00.000Z","2024-02-14T01:37:00.000Z","12.7741702","74.9650979","Drug Distribution reported near Dakshina Kannada Market PS. Possible NH-167 Network pattern. Evidence and witness inputs available for AI review."
"66","100171704202600066","202600066","2026-10-24","1066","1704","1","1","5","8","2","517","2026-10-24T18:03:00.000Z","2026-10-24T22:03:00.000Z","2026-10-24T19:03:00.000Z","17.1437230","77.0269030","Harassment reported near Kalaburagi Rural PS. Night-time MO. Evidence and witness inputs available for AI review."
"67","100030303202600067","202600067","2026-10-02","1067","303","1","1","6","10","2","503","2026-10-02T14:26:00.000Z","2026-10-02T18:26:00.000Z","2026-10-02T15:26:00.000Z","15.7577058","74.4811193","Robbery reported near Belagavi North PS. Evidence and witness inputs available for AI review."
"68","100272703202500068","202500068","2025-02-26","1068","2703","1","2","1","1","2","527","2025-02-26T01:41:00.000Z","2025-02-26T03:41:00.000Z","2025-02-26T02:41:00.000Z","13.0965160","74.8027895","Burglary reported near Udupi North PS. Evidence and witness inputs available for AI review."
"69","100303005202400069","202400069","2024-10-27","1069","3005","1","2","1","2","2","530","2024-10-27T04:40:00.000Z","2024-10-27T07:40:00.000Z","2024-10-27T05:40:00.000Z","16.7174541","77.2693662","Vehicle Theft reported near Yadgir Market PS. Possible North Belt Narcotics Line pattern. Vehicle KA-04-QP-1253 seen. Evidence and witness inputs available for AI review."
"70","100090907202500070","202500070","2025-12-17","1070","907","1","1","6","10","1","509","2025-12-17T14:45:00.000Z","2025-12-17T18:45:00.000Z","2025-12-17T15:45:00.000Z","13.1076971","75.8710089","Robbery reported near Chikkamagaluru Cyber PS. Night-time MO. Evidence and witness inputs available for AI review."
"71","100050506202400071","202400071","2024-02-07","1071","506","1","2","2","4","1","505","2024-02-07T06:13:00.000Z","2024-02-07T11:13:00.000Z","2024-02-07T07:13:00.000Z","13.1992234","77.4949737","UPI Fraud reported near Bengaluru Urban Traffic PS. Evidence and witness inputs available for AI review."
"72","100040403202600072","202600072","2026-05-26","1072","403","1","1","5","8","1","504","2026-05-26T15:21:00.000Z","2026-05-26T20:21:00.000Z","2026-05-26T16:21:00.000Z","13.0953808","77.4872542","Harassment reported near Bengaluru Rural North PS. Night-time MO. Evidence and witness inputs available for AI review."
"73","100202003202400073","202400073","2024-08-26","1073","2003","1","2","3","6","1","520","2024-08-26T14:26:00.000Z","2024-08-26T20:26:00.000Z","2024-08-26T15:26:00.000Z","15.5499604","76.3174201","Loan App Fraud reported near Koppal North PS. Evidence and witness inputs available for AI review."
"74","100292905202500074","202500074","2025-12-23","1074","2905","1","1","6","9","2","529","2025-12-23T12:02:00.000Z","2025-12-23T14:02:00.000Z","2025-12-23T13:02:00.000Z","16.8023515","75.7081461","Assault reported near Vijayapura Market PS. Vehicle KA-23-WS-1231 seen. Evidence and witness inputs available for AI review."
"75","100262606202600075","202600075","2026-11-21","1075","2606","1","2","1","3","2","526","2026-11-21T01:15:00.000Z","2026-11-21T06:15:00.000Z","2026-11-21T02:15:00.000Z","13.5028597","77.2132833","Chain Snatching reported near Tumakuru Traffic PS. Evidence and witness inputs available for AI review."
"76","100282806202500076","202500076","2025-07-09","1076","2806","1","2","1","1","1","528","2025-07-09T10:30:00.000Z","2025-07-09T16:30:00.000Z","2025-07-09T11:30:00.000Z","15.0168153","74.2900437","Burglary reported near Uttara Kannada Traffic PS. Evidence and witness inputs available for AI review."
"77","100282807202500077","202500077","2025-10-14","1077","2807","1","1","5","8","1","528","2025-10-14T11:30:00.000Z","2025-10-14T15:30:00.000Z","2025-10-14T12:30:00.000Z","14.7619192","73.8739069","Harassment reported near Uttara Kannada Cyber PS. Evidence and witness inputs available for AI review."
"78","100121204202400078","202400078","2024-12-08","1078","1204","1","1","4","7","2","512","2024-12-08T08:25:00.000Z","2024-12-08T11:25:00.000Z","2024-12-08T09:25:00.000Z","14.5165977","75.7117111","Drug Distribution reported near Davanagere Rural PS. Evidence and witness inputs available for AI review."
"79","100090908202500079","202500079","2025-04-25","1079","908","1","2","1","3","2","509","2025-04-25T04:14:00.000Z","2025-04-25T10:14:00.000Z","2025-04-25T05:14:00.000Z","13.3754157","75.8121560","Chain Snatching reported near Chikkamagaluru Women PS. Evidence and witness inputs available for AI review."
"80","100232306202400080","202400080","2024-07-17","1080","2306","1","2","1","3","2","523","2024-07-17T07:32:00.000Z","2024-07-17T09:32:00.000Z","2024-07-17T08:32:00.000Z","16.0330827","77.5965656","Chain Snatching reported near Raichur Traffic PS. Evidence and witness inputs available for AI review."
"81","100141408202500081","202500081","2025-03-17","1081","1408","1","2","2","4","1","514","2025-03-17T18:17:00.000Z","2025-03-17T19:17:00.000Z","2025-03-17T19:17:00.000Z","15.5643713","75.5047085","UPI Fraud reported near Gadag Women PS. Night-time MO. Evidence and witness inputs available for AI review."
"82","100181803202400082","202400082","2024-06-04","1082","1803","1","2","1","1","1","518","2024-06-04T10:19:00.000Z","2024-06-04T12:19:00.000Z","2024-06-04T11:19:00.000Z","12.5469255","75.9878612","Burglary reported near Kodagu North PS. Evidence and witness inputs available for AI review."
"83","100121201202400083","202400083","2024-05-27","1083","1201","1","1","5","8","1","512","2024-05-27T13:43:00.000Z","2024-05-27T19:43:00.000Z","2024-05-27T14:43:00.000Z","14.4946463","76.0057938","Harassment reported near Davanagere Central PS. Vehicle KA-07-AX-1078 seen. Evidence and witness inputs available for AI review."
"84","100030303202600084","202600084","2026-02-23","1084","303","1","2","1","1","2","503","2026-02-23T23:36:00.000Z","2026-02-24T03:36:00.000Z","2026-02-24T00:36:00.000Z","15.7657599","74.4625907","Burglary reported near Belagavi North PS. Evidence and witness inputs available for AI review."
"85","100252503202400085","202400085","2024-04-25","1085","2503","1","1","4","7","2","525","2024-04-25T22:51:00.000Z","2024-04-26T02:51:00.000Z","2024-04-25T23:51:00.000Z","14.0111558","75.7372641","Drug Distribution reported near Shivamogga North PS. Night-time MO. Evidence and witness inputs available for AI review."
"86","100151502202600086","202600086","2026-11-13","1086","1502","1","2","1","1","1","515","2026-11-13T21:43:00.000Z","2026-11-14T00:43:00.000Z","2026-11-13T22:43:00.000Z","12.8610540","75.9472945","Burglary reported near Hassan South PS. Possible Coastal Fraud Cell pattern. Night-time MO. Evidence and witness inputs available for AI review."
"87","100060608202500087","202500087","2025-02-05","1087","608","1","2","1","2","2","506","2025-02-05T21:03:00.000Z","2025-02-06T00:03:00.000Z","2025-02-05T22:03:00.000Z","17.6648268","77.7114788","Vehicle Theft reported near Bidar Women PS. Night-time MO. Evidence and witness inputs available for AI review."
"88","100191903202500088","202500088","2025-05-10","1088","1903","1","2","2","4","2","519","2025-05-10T12:40:00.000Z","2025-05-10T14:40:00.000Z","2025-05-10T13:40:00.000Z","12.9659616","78.0949002","UPI Fraud reported near Kolar North PS. Evidence and witness inputs available for AI review."
"89","100181805202400089","202400089","2024-02-15","1089","1805","1","2","3","6","1","518","2024-02-15T20:44:00.000Z","2024-02-15T22:44:00.000Z","2024-02-15T21:44:00.000Z","12.4705156","75.7710926","Loan App Fraud reported near Kodagu Market PS. Night-time MO. Evidence and witness inputs available for AI review."
"90","100202005202600090","202600090","2026-07-14","1090","2005","1","2","1","3","1","520","2026-07-14T02:11:00.000Z","2026-07-14T04:11:00.000Z","2026-07-14T03:11:00.000Z","15.1357081","76.3691692","Chain Snatching reported near Koppal Market PS. Evidence and witness inputs available for AI review."
"91","100313104202600091","202600091","2026-03-20","1091","3104","1","1","4","7","1","531","2026-03-20T18:10:00.000Z","2026-03-21T00:10:00.000Z","2026-03-20T19:10:00.000Z","15.1993719","76.3638104","Drug Distribution reported near Vijayanagara Rural PS. Night-time MO. Evidence and witness inputs available for AI review."
"92","100161605202600092","202600092","2026-07-24","1092","1605","1","2","3","6","1","516","2026-07-24T05:02:00.000Z","2026-07-24T08:02:00.000Z","2026-07-24T06:02:00.000Z","14.7487879","75.5432475","Loan App Fraud reported near Haveri Market PS. Evidence and witness inputs available for AI review."
