"VictimMasterID","CaseMasterID","VictimName","AgeYear","GenderID","VictimPolice"
"66","33","Victim 00033-2","49","2","0"
"67","33","Victim 00033-3","73","1","0"
"68","34","Victim 00034-1","34","2","0"
"69","34","Victim 00034-2","23","1","0"
"70","35","Victim 00035-1","58","1","0"
"71","36","Victim 00036-1","44","1","0"
"72","36","Victim 00036-2","17","1","0"
"73","36","Victim 00036-3","46","2","0"
"74","37","Victim 00037-1","14","1","0"
"75","37","Victim 00037-2","58","1","0"
"76","38","Victim 00038-1","18","2","0"
"77","38","Victim 00038-2","36","2","0"
"78","38","Victim 00038-3","41","2","0"
"79","39","Victim 00039-1","53","2","0"
"80","40","Victim 00040-1","51","1","0"
"81","40","Victim 00040-2","57","1","0"
"82","40","Victim 00040-3","50","1","0"
"83","41","Victim 00041-1","55","2","0"
"84","41","Victim 00041-2","70","1","0"
"85","42","Victim 00042-1","54","2","0"
"86","43","Victim 00043-1","44","1","0"
"87","44","Victim 00044-1","23","2","0"
"88","44","Victim 00044-2","48","1","0"
"89","45","Victim 00045-1","23","1","0"
"90","45","Victim 00045-2","14","1","0"
"91","46","Victim 00046-1","30","2","0"
"92","46","Victim 00046-2","26","1","0"
"93","46","Victim 00046-3","26","1","0"
"94","47","Victim 00047-1","64","2","0"
"95","47","Victim 00047-2","36","1","0"
"96","48","Victim 00048-1","64","1","0"
"97","48","Victim 00048-2","62","2","0"
"98","49","Victim 00049-1","53","1","0"
"99","49","Victim 00049-2","52","2","0"
"100","50","Victim 00050-1","55","1","0"
"101","51","Victim 00051-1","16","1","0"
"102","51","Victim 00051-2","46","2","0"
"103","52","Victim 00052-1","65","2","0"
"104","52","Victim 00052-2","35","2","0"
"105","53","Victim 00053-1","62","2","0"
"106","54","Victim 00054-1","39","2","0"
"107","54","Victim 00054-2","64","1","0"
"108","54","Victim 00054-3","20","1","0"
"109","55","Victim 00055-1","27","1","0"
"110","56","Victim 00056-1","32","2","0"
"111","56","Victim 00056-2","49","1","0"
"112","57","Victim 00057-1","47","2","0"
"113","57","Victim 00057-2","51","1","0"
"114","57","Victim 00057-3","26","2","0"
"115","58","Victim 00058-1","34","2","0"
"116","59","Victim 00059-1","64","1","0"
"117","60","Victim 00060-1","20","1","0"
"118","61","Victim 00061-1","74","2","0"
"119","62","Victim 00062-1","14","2","0"
"120","62","Victim 00062-2","68","2","0"
"121","62","Victim 00062-3","16","2","0"
"122","63","Victim 00063-1","28","1","0"
"123","64","Victim 00064-1","36","1","0"
"124","64","Victim 00064-2","47","2","0"
"125","64","Victim 00064-3","41","2","0"
"126","65","Victim 00065-1","25","2","0"
"127","65","Victim 00065-2","39","2","0"
"128","65","Victim 00065-3","60","1","0"
"129","66","Victim 00066-1","74","2","0"
"130","66","Victim 00066-2","70","1","0"
"131","67","Victim 00067-1","56","1","0"
"132","67","Victim 00067-2","58","1","0"
"133","67","Victim 00067-3","41","2","0"
"134","68","Victim 00068-1","32","2","0"
"135","68","Victim 00068-2","37","2","0"
"136","69","Victim 00069-1","56","2","0"
"137","69","Victim 00069-2","24","2","0"
"138","69","Victim 00069-3","21","1","0"
"139","70","Victim 00070-1","16","1","0"
"140","71","Victim 00071-1","36","2","0"
"141","72","Victim 00072-1","51","2","0"
"142","73","Victim 00073-1","51","1","0"
"143","74","Victim 00074-1","45","2","0"
"144","75","Victim 00075-1","37","1","0"
"145","76","Victim 00076-1","49","2","0"
"146","77","Victim 00077-1","28","1","0"
"147","77","Victim 00077-2","23","1","0"
"148","77","Victim 00077-3","53","2","0"
"149","78","Victim 00078-1","74","2","0"
"150","78","Victim 00078-2","51","1","0"
"151","79","Victim 00079-1","24","2","0"
"152","79","Victim 00079-2","42","2","0"
"153","79","Victim 00079-3","41","2","0"
"154","80","Victim 00080-1","26","1","0"
"155","80","Victim 00080-2","62","2","0"
"156","81","Victim 00081-1","69","1","0"
"157","81","Victim 00081-2","26","1","0"
"158","81","Victim 00081-3","53","2","0"
"159","82","Victim 00082-1","18","1","0"
"160","82","Victim 00082-2","16","1","0"
"161","82","Victim 00082-3","31","1","0"
"162","83","Victim 00083-1","18","1","0"
"163","84","Victim 00084-1","23","2","0"
"164","84","Victim 00084-2","55","2","0"
"165","84","Victim 00084-3","30","2","0"
"166","85","Victim 00085-1","43","1","0"
"167","85","Victim 00085-2","71","2","0"
"168","85","Victim 00085-3","34","1","0"
"169","86","Victim 00086-1","22","2","0"
"170","86","Victim 00086-2","69","1","0"
"171","86","Victim 00086-3","48","2","0"
"172","87","Victim 00087-1","73","2","0"
"173","88","Victim 00088-1","65","2","0"
"174","88","Victim 00088-2","75","1","0"
"175","88","Victim 00088-3","20","1","0"
"176","89","Victim 00089-1","50","2","0"
"177","89","Victim 00089-2","64","2","0"
"178","89","Victim 00089-3","30","2","0"
"179","90","Victim 00090-1","57","1","0"
"180","90","Victim 00090-2","25","2","0"
"181","91","Victim 00091-1","55","2","0"
"182","91","Victim 00091-2","34","1","0"
"183","91","Victim 00091-3","31","2","0"
"184","92","Victim 00092-1","38","1","0"
"185","92","Victim 00092-2","62","2","0"
"186","93","Victim 00093-1","65","1","0"
"187","94","Victim 00094-1","55","2","0"
"188","95","Victim 00095-1","15","2","0"
"189","95","Victim 00095-2","43","1","0"
"190","95","Victim 00095-3","45","1","0"
"191","96","Victim 00096-1","33","1","0"
"192","96","Victim 00096-2","67","1","0"
"193","97","Victim 00097-1","56","2","0"
"194","97","Victim 00097-2","14","2","0"
"195","97","Victim 00097-3","57","1","0"
"196","98","Victim 00098-1","69","1","0"
"197","98","Victim 00098-2","49","1","0"
"198","99","Victim 00099-1","22","1","0"
"199","100","Victim 00100-1","46","2","0"
"200","100","Victim 00100-2","19","2","0"
"201","100","Victim 00100-3","53","1","0"
"202","101","Victim 00101-1","49","2","0"
"203","101","Victim 00101-2","37","2","0"
"204","102","Victim 00102-1","48","1","0"
"205","103","Victim 00103-1","47","2","0"
"206","103","Victim 00103-2","54","2","0"
"207","103","Victim 00103-3","54","1","0"
"208","104","Victim 00104-1","32","1","0"
"209","104","Victim 00104-2","64","1","0"
"210","104","Victim 00104-3","60","2","0"
"211","105","Victim 00105-1","51","2","0"
"212","105","Victim 00105-2","15","1","0"
"213","106","Victim 00106-1","43","2","0"
"214","106","Victim 00106-2","70","2","0"
"215","106","Victim 00106-3","19","2","0"
"216","107","Victim 00107-1","42","1","0"
"217","107","Victim 00107-2","62","1","0"
"218","107","Victim 00107-3","44","2","0"
"219","108","Victim 00108-1","30","2","0"
"220","109","Victim 00109-1","59","2","0"
"221","109","Victim 00109-2","15","1","0"
"222","109","Victim 00109-3","71","1","0"
"223","110","Victim 00110-1","34","2","0"
"224","111","Victim 00111-1","69","2","0"
"225","112","Victim 00112-1","50","2","0"
"226","113","Victim 00113-1","73","1","0"
"227","114","Victim 00114-1","19","1","0"
"228","114","Victim 00114-2","21","1","0"
"229","115","Victim 00115-1","63","1","0"
"230","116","Victim 00116-1","40","1","0"
"231","116","Victim 00116-2","32","2","0"
"232","117","Victim 00117-1","67","2","0"
"233","117","Victim 00117-2","56","1","0"
"234","117","Victim 00117-3","23","1","0"
"235","118","Victim 00118-1","41","1","0"
"236","119","Victim 00119-1","65","2","0"
"237","120","Victim 00120-1","62","1","0"
"238","121","Victim 00121-1","42","2","0"
"239","121","Victim 00121-2","48","1","0"
"240","122","Victim 00122-1","25","2","0"
"241","122","Victim 00122-2","36","1","0"
"242","122","Victim 00122-3","59","1","0"
"243","123","Victim 00123-1","26","1","0"
"244","123","Victim 00123-2","34","2","0"
"245","124","Victim 00124-1","24","2","0"
"246","125","Victim 00125-1","38","1","0"
"247","125","Victim 00125-2","37","1","0"
"248","126","Victim 00126-1","23","1","0"
"249","126","Victim 00126-2","47","2","0"
"250","126","Victim 00126-3","49","2","0"
"251","127","Victim 00127-1","49","2","0"
"252","127","Victim 00127-2","54","1","0"
"253","128","Victim 00128-1","25","1","0"
"254","129","Victim 00129-1","22","2","0"
"255","129","Victim 00129-2","64","2","0"
"256","130","Victim 00130-1","20","2","0"
"257","130","Victim 00130-2","37","2","0"
"258","130","Victim 00130-3","29","2","0"
"259","131","Victim 00131-1","75","1","0"
"260","131","Victim 00131-2","22","1","0"
"261","132","Victim 00132-1","57","2","0"
"262","132","Victim 00132-2","51","2","0"
"263","133","Victim 00133-1","37","1","0"
"264","134","Victim 00134-1","37","2","0"
"265","134","Victim 00134-2","62","1","0"
"266","134","Victim 00134-3","52","2","0"
"267","135","Victim 00135-1","59","2","0"
"268","136","Victim 00136-1","34","1","0"
"269","136","Victim 00136-2","75","2","0"
"270","137","Victim 00137-1","15","2","0"
"271","137","Victim 00137-2","57","2","0"
"272","138","Victim 00138-1","24","2","0"
"273","139","Victim 00139-1","41","2","0"
"274","139","Victim 00139-2","14","2","0"
"275","140","Victim 00140-1","75","2","0"
"276","140","Victim 00140-2","65","2","0"
"277","141","Victim 00141-1","38","1","0"
"278","142","Victim 00142-1","59","2","0"
"279","143","Victim 00143-1","21","1","0"
"280","143","Victim 00143-2","50","2","0"
"281","143","Victim 00143-3","14","2","0"
"282","144","Victim 00144-1","44","1","0"
"283","144","Victim 00144-2","62","2","0"
"284","144","Victim 00144-3","53","2","0"
"285","145","Victim 00145-1","32","1","0"
"286","146","Victim 00146-1","42","2","0"
"287","147","Victim 00147-1","44","1","0"
"288","147","Victim 00147-2","61","2","0"
"289","147","Victim 00147-3","54","2","0"
"290","148","Victim 00148-1","50","2","0"
"291","148","Victim 00148-2","53","1","0"
"292","148","Victim 00148-3","38","2","0"
"293","149","Victim 00149-1","32","1","0"
"294","149","Victim 00149-2","63","2","0"
"295","149","Victim 00149-3","67","1","0"
"296","150","Victim 00150-1","31","1","0"
"297","150","Victim 00150-2","30","1","0"
"298","151","Victim 00151-1","48","1","0"
"299","151","Victim 00151-2","57","1","0"
"300","151","Victim 00151-3","30","2","0"
"301","152","Victim 00152-1","48","2","0"
"302","152","Victim 00152-2","53","2","0"
"303","153","Victim 00153-1","41","2","0"
"304","153","Victim 00153-2","30","1","0"
"305","154","Victim 00154-1","44","1","0"
"306","155","Victim 00155-1","43","2","0"
"307","155","Victim 00155-2","20","2","0"
"308","156","Victim 00156-1","51","2","0"
"309","156","Victim 00156-2","44","2","0"
"310","156","Victim 00156-3","49","2","0"
"311","157","Victim 00157-1","69","1","0"
"312","158","Victim 00158-1","31","1","0"
"313","158","Victim 00158-2","37","2","0"
"314","158","Victim 00158-3","28","2","0"
"315","159","Victim 00159-1","71","2","0"
"316","160","Victim 00160-1","72","2","0"
"317","160","Victim 00160-2","40","2","0"
"318","161","Victim 00161-1","71","1","0"
"319","161","Victim 00161-2","65","2","0"
"320","161","Victim 00161-3","62","2","0"
"321","162","Victim 00162-1","33","1","0"
"322","162","Victim 00162-2","64","1","0"
"323","163","Victim 00163-1","32","1","0"
"324","163","Victim 00163-2","51","2","0"
"325","164","Victim 00164-1","47","1","0"
"326","165","Victim 00165-1","35","1","0"
"327","165","Victim 00165-2","27","1","0"
"328","165","Victim 00165-3","15","2","0"
"329","166","Victim 00166-1","55","2","0"
"330","166","Victim 00166-2","67","1","0"
"331","167","Victim 00167-1","55","1","0"
"332","167","Victim 00167-2","47","1","0"
"333","168","Victim 00168-1","49","2","0"
"334","168","Victim 00168-2","35","2","0"
"335","168","Victim 00168-3","75","2","0"
"336","169","Victim 00169-1","65","1","0"
"337","169","Victim 00169-2","63","1","0"
"338","169","Victim 00169-3","52","1","0"
"339","170","Victim 00170-1","56","2","0"
"340","170","Victim 00170-2","21","2","0"
"341","170","Victim 00170-3","26","2","0"
"342","171","Victim 00171-1","15","1","0"
"343","171","Victim 00171-2","69","1","0"
"344","171","Victim 00171-3","70","1","0"
"345","172","Victim 00172-1","73","2","0"
"346","172","Victim 00172-2","16","2","0"
"347","173","Victim 00173-1","21","1","0"
"348","173","Victim 00173-2","47","2","0"
"349","174","Victim 00174-1","37","2","0"
"350","175","Victim 00175-1","59","1","0"
"351","175","Victim 00175-2","25","2","0"
"352","175","Victim 00175-3","30","1","0"
"353","176","Victim 00176-1","69","2","0"
"354","177","Victim 00177-1","69","2","0"
"355","178","Victim 00178-1","14","2","0"
"356","179","Victim 00179-1","56","1","0"
"357","179","Victim 00179-2","75","2","0"
"358","180","Victim 00180-1","63","1","0"
"359","180","Victim 00180-2","46","1","0"
"360","181","Victim 00181-1","51","1","0"
"361","182","Victim 00182-1","18","1","0"
"362","183","Victim 00183-1","33","1","0"
"363","183","Victim 00183-2","69","2","0"
"364","183","Victim 00183-3","26","2","0"
"365","184","Victim 00184-1","30","1","0"
"366","184","Victim 00184-2","50","2","0"
"367","184","Victim 00184-3","24","2","0"
"368","185","Victim 00185-1","45","1","0"
"369","186","Victim 00186-1","51","2","0"
"370","187","Victim 00187-1","15","2","0"
"371","187","Victim 00187-2","62","1","0"
"372","187","Victim 00187-3","39","1","0"
"373","188","Victim 00188-1","20","1","0"
"374","188","Victim 00188-2","71","2","0"
"375","188","Victim 00188-3","40","2","0"
"376","189","Victim 00189-1","67","2","0"
"377","189","Victim 00189-2","36","2","0"
"378","190","Victim 00190-1","21","2","0"
"379","190","Victim 00190-2","19","2","0"
"380","191","Victim 00191-1","47","2","0"
"381","192","Victim 00192-1","45","1","0"
"382","193","Victim 00193-1","28","1","0"
"383","193","Victim 00193-2","64","2","0"
"384","194","Victim 00194-1","52","2","0"
"385","194","Victim 00194-2","59","1","0"
"386","195","Victim 00195-1","32","2","0"
"387","196","Victim 00196-1","34","2","0"
"388","197","Victim 00197-1","55","1","0"
"389","197","Victim 00197-2","27","1","0"
"390","197","Victim 00197-3","60","1","0"
"391","198","Victim 00198-1","55","2","0"
"392","198","Victim 00198-2","24","1","0"
"393","198","Victim 00198-3","28","1","0"
"394","199","Victim 00199-1","66","1","0"
"395","199","Victim 00199-2","72","1","0"
"396","200","Victim 00200-1","63","2","0"
"397","201","Victim 00201-1","67","1","0"
"398","201","Victim 00201-2","38","2","0"
"399","201","Victim 00201-3","15","1","0"
"400","202","Victim 00202-1","61","1","0"
"401","202","Victim 00202-2","23","2","0"
"402","203","Victim 00203-1","19","1","0"
"403","203","Victim 00203-2","39","2","0"
"404","204","Victim 00204-1","67","1","0"
"405","205","Victim 00205-1","18","2","0"
"406","205","Victim 00205-2","19","2","0"
"407","205","Victim 00205-3","64","1","0"
"408","206","Victim 00206-1","45","1","0"
"409","206","Victim 00206-2","29","2","0"
"410","206","Victim 00206-3","67","2","0"
"411","207","Victim 00207-1","75","1","0"
"412","207","Victim 00207-2","40","1","0"
"413","207","Victim 00207-3","62","2","0"
"414","208","Victim 00208-1","25","2","0"
"415","208","Victim 00208-2","17","1","0"
"416","209","Victim 00209-1","54","2","0"
"417","209","Victim 00209-2","26","2","0"
"418","209","Victim 00209-3","46","2","0"
"419","210","Victim 00210-1","46","2","0"
"420","210","Victim 00210-2","61","2","0"
"421","211","Victim 00211-1","41","2","0"
"422","212","Victim 00212-1","36","1","0"
"423","212","Victim 00212-2","17","2","0"
"424","213","Victim 00213-1","24","2","0"
"425","214","Victim 00214-1","16","2","0"
"426","215","Victim 00215-1","28","1","0"
"427","216","Victim 00216-1","18","2","0"
"428","217","Victim 00217-1","18","2","0"
"429","217","Victim 00217-2","17","2","0"
"430","217","Victim 00217-3","42","1","0"
"431","218","Victim 00218-1","57","2","0"
"432","218","Victim 00218-2","55","2","0"
"433","218","Victim 00218-3","57","1","0"
"434","219","Victim 00219-1","30","1","0"
"435","220","Victim 00220-1","43","2","0"
"436","221","Victim 00221-1","58","2","0"
"437","221","Victim 00221-2","32","1","0"
"438","222","Victim 00222-1","67","2","0"
"439","222","Victim 00222-2","67","1","0"
"440","222","Victim 00222-3","21","1","0"
"441","223","Victim 00223-1","16","2","0"
"442","223","Victim 00223-2","71","2","0"
"443","224","Victim 00224-1","34","1","0"
"444","224","Victim 00224-2","55","2","0"
"445","225","Victim 00225-1","55","2","0"
"446","225","Victim 00225-2","25","2","0"
"447","226","Victim 00226-1","43","1","0"
"448","226","Victim 00226-2","30","1","0"
"449","227","Victim 00227-1","46","1","0"
"450","228","Victim 00228-1","56","2","0"
"451","228","Victim 00228-2","57","1","0"
"452","228","Victim 00228-3","16","2","0"
"453","229","Victim 00229-1","28","2","0"
"454","229","Victim 00229-2","75","2","0"
"455","229","Victim 00229-3","59","2","0"
"456","230","Victim 00230-1","57","1","0"
"457","230","Victim 00230-2","28","2","0"
"458","231","Victim 00231-1","65","1","0"
"459","231","Victim 00231-2","44","2","0"
"460","231","Victim 00231-3","70","2","0"
"461","232","Victim 00232-1","46","2","0"
"462","232","Victim 00232-2","47","1","0"
"463","233","Victim 00233-1","60","1","0"
"464","234","Victim 00234-1","67","2","0"
"465","234","Victim 00234-2","38","2","0"
"466","235","Victim 00235-1","16","2","0"
"467","236","Victim 00236-1","41","2","0"
"468","236","Victim 00236-2","43","2","0"
"469","237","Victim 00237-1","48","2","0"
"470","237","Victim 00237-2","74","1","0"
"471","237","Victim 00237-3","17","1","0"
"472","238","Victim 00238-1","54","2","0"
"473","238","Victim 00238-2","59","1","0"
"474","238","Victim 00238-3","74","2","0"
"475","239","Victim 00239-1","38","2","0"
"476","239","Victim 00239-2","72","2","0"
"477","240","Victim 00240-1","40","1","0"
"478","241","Victim 00241-1","40","1","0"
"479","241","Victim 00241-2","15","1","0"
"480","242","Victim 00242-1","35","1","0"
"481","242","Victim 00242-2","63","2","0"
"482","242","Victim 00242-3","16","1","0"
"483","243","Victim 00243-1","40","1","0"
"484","243","Victim 00243-2","59","2","0"
"485","243","Victim 00243-3","21","2","0"
"486","244","Victim 00244-1","70","1","0"
"487","245","Victim 00245-1","42","1","0"
"488","245","Victim 00245-2","60","2","0"
"489","246","Victim 00246-1","50","2","0"
"490","247","Victim 00247-1","59","2","0"
"491","247","Victim 00247-2","22","1","0"
"492","247","Victim 00247-3","73","2","0"
"493","248","Victim 00248-1","45","1","0"
"494","248","Victim 00248-2","40","2","0"
"495","249","Victim 00249-1","29","2","0"
"496","249","Victim 00249-2","23","1","0"
"497","250","Victim 00250-1","22","2","0"
"498","250","Victim 00250-2","23","1","0"
"499","250","Victim 00250-3","23","1","0"
"500","251","Victim 00251-1","24","2","0"
"501","251","Victim 00251-2","24","1","0"
"502","251","Victim 00251-3","26","2","0"
"503","252","Victim 00252-1","59","1","0"
"504","252","Victim 00252-2","73","2","0"
"505","252","Victim 00252-3","70","2","0"
"506","253","Victim 00253-1","35","2","0"
"507","254","Victim 00254-1","63","1","0"
"508","254","Victim 00254-2","15","1","0"
"509","254","Victim 00254-3","75","2","0"
"510","255","Victim 00255-1","55","1","0"
"511","255","Victim 00255-2","36","1","0"
"512","255","Victim 00255-3","35","1","0"
"513","256","Victim 00256-1","51","1","0"
"514","256","Victim 00256-2","37","2","0"
"515","256","Victim 00256-3","50","1","0"
"516","257","Victim 00257-1","62","2","0"
"517","258","Victim 00258-1","59","2","0"
"518","258","Victim 00258-2","46","1","0"
"519","259","Victim 00259-1","70","2","0"
"520","259","Victim 00259-2","66","2","0"
"521","260","Victim 00260-1","70","2","0"
"522","261","Victim 00261-1","46","1","0"
"523","261","Victim 00261-2","15","2","0"
"524","261","Victim 00261-3","26","2","0"
"525","262","Victim 00262-1","18","1","0"
"526","262","Victim 00262-2","54","2","0"
"527","263","Victim 00263-1","44","2","0"
"528","263","Victim 00263-2","52","2","0"
"529","264","Victim 00264-1","24","2","0"
"530","264","Victim 00264-2","36","2","0"
"531","264","Victim 00264-3","14","2","0"
"532","265","Victim 00265-1","55","1","0"
"533","265","Victim 00265-2","60","1","0"
"534","266","Victim 00266-1","18","2","0"
"535","267","Victim 00267-1","61","2","0"
"536","267","Victim 00267-2","61","1","0"
"537","268","Victim 00268-1","25","2","0"
"538","269","Victim 00269-1","27","2","0"
"539","269","Victim 00269-2","29","2","0"
"540","269","Victim 00269-3","29","1","0"
"541","270","Victim 00270-1","15","2","0"
"542","270","Victim 00270-2","33","2","0"
"543","270","Victim 00270-3","50","2","0"
"544","271","Victim 00271-1","61","2","0"
"545","272","Victim 00272-1","75","2","0"
"546","272","Victim 00272-2","39","1","0"
"547","272","Victim 00272-3","65","2","0"
"548","273","Victim 00273-1","29","1","0"
"549","273","Victim 00273-2","18","1","0"
"550","274","Victim 00274-1","23","1","0"
"551","274","Victim 00274-2","41","2","0"
"552","275","Victim 00275-1","41","2","0"
"553","275","Victim 00275-2","21","1","0"
"554","275","Victim 00275-3","70","1","0"
"555","276","Victim 00276-1","67","2","0"
"556","276","Victim 00276-2","28","2","0"
"557","276","Victim 00276-3","32","1","0"
"558","277","Victim 00277-1","36","2","0"
"559","278","Victim 00278-1","24","1","0"
"560","278","Victim 00278-2","15","2","0"
"561","279","Victim 00279-1","71","1","0"
"562","279","Victim 00279-2","68","1","0"
"563","279","Victim 00279-3","54","2","0"
"564","280","Victim 00280-1","37","1","0"
"565","280","Victim 00280-2","51","2","0"
"566","281","Victim 00281-1","48","2","0"
"567","282","Victim 00282-1","30","2","0"
"568","282","Victim 00282-2","36","2","0"
"569","283","Victim 00283-1","46","2","0"
"570","284","Victim 00284-1","17","1","0"
"571","285","Victim 00285-1","57","2","0"
"572","285","Victim 00285-2","43","2","0"
"573","286","Victim 00286-1","14","2","0"
"574","287","Victim 00287-1","19","2","0"
"575","287","Victim 00287-2","22","2","0"
"576","287","Victim 00287-3","51","2","0"
"577","288","Victim 00288-1","36","2","0"
"578","288","Victim 00288-2","28","2","0"
"579","288","Victim 00288-3","19","1","0"
"580","289","Victim 00289-1","16","1","0"
"581","289","Victim 00289-2","47","1","0"
"582","290","Victim 00290-1","23","2","0"
"583","290","Victim 00290-2","73","1","0"
"584","291","Victim 00291-1","29","1","0"
"585","292","Victim 00292-1","67","1","0"
"586","292","Victim 00292-2","55","1","0"
"587","292","Victim 00292-3","62","1","0"
"588","293","Victim 00293-1","29","2","0"
"589","293","Victim 00293-2","20","1","0"
"590","294","Victim 00294-1","51","1","0"
"591","294","Victim 00294-2","54","2","0"
"592","294","Victim 00294-3","17","2","0"
"593","295","Victim 00295-1","32","2","0"
"594","296","Victim 00296-1","26","2","0"
"595","297","Victim 00297-1","30","1","0"
"596","297","Victim 00297-2","41","1","0"
"597","298","Victim 00298-1","31","2","0"
"598","298","Victim 00298-2","35","1","0"
"599","299","Victim 00299-1","59","2","0"
"600","299","Victim 00299-2","48","2","0"
"601","300","Victim 00300-1","67","2","0"
"602","301","Victim 00301-1","30","2","0"
"603","301","Victim 00301-2","70","1","0"
"604","301","Victim 00301-3","26","2","0"
"605","302","Victim 00302-1","65","1","0"
"606","303","Victim 00303-1","21","2","0"
"607","303","Victim 00303-2","70","2","0"
"608","304","Victim 00304-1","40","1","0"
"609","304","Victim 00304-2","52","1","0"
"610","305","Victim 00305-1","73","1","0"
"611","306","Victim 00306-1","45","1","0"
"612","306","Victim 00306-2","54","2","0"
"613","306","Victim 00306-3","51","1","0"
"614","307","Victim 00307-1","30","1","0"
"615","307","Victim 00307-2","72","1","0"
"616","307","Victim 00307-3","65","2","0"
"617","308","Victim 00308-1","37","1","0"
"618","308","Victim 00308-2","61","2","0"
"619","308","Victim 00308-3","29","1","0"
"620","309","Victim 00309-1","21","2","0"
"621","310","Victim 00310-1","35","2","0"
"622","311","Victim 00311-1","39","2","0"
"623","312","Victim 00312-1","38","1","0"
"624","313","Victim 00313-1","74","1","0"
"625","313","Victim 00313-2","52","1","0"
"626","314","Victim 00314-1","71","1","0"
"627","314","Victim 00314-2","53","2","0"
"628","315","Victim 00315-1","27","2","0"
"629","316","Victim 00316-1","20","2","0"
"630","317","Victim 00317-1","28","2","0"
"631","317","Victim 00317-2","72","2","0"
"632","317","Victim 00317-3","23","1","0"
"633","318","Victim 00318-1","29","2","0"
"634","318","Victim 00318-2","43","2","0"
"635","318","Victim 00318-3","47","2","0"
"636","319","Victim 00319-1","38","1","0"
"637","320","Victim 00320-1","16","1","0"
"638","321","Victim 00321-1","27","1","0"
"639","321","Victim 00321-2","62","1","0"
"640","322","Victim 00322-1","68","2","0"
"641","323","Victim 00323-1","22","2","0"
"642","323","Victim 00323-2","22","1","0"
"643","324","Victim 00324-1","70","1","0"
"644","325","Victim 00325-1","40","1","0"
"645","325","Victim 00325-2","56","2","0"
"646","325","Victim 00325-3","62","1","0"
"647","326","Victim 00326-1","61","1","0"
"648","326","Victim 00326-2","57","1","0"
"649","327","Victim 00327-1","73","2","0"
"650","327","Victim 00327-2","19","1","0"
"651","328","Victim 00328-1","20","1","0"
"652","328","Victim 00328-2","40","1","0"
"653","329","Victim 00329-1","48","2","0"
"654","330","Victim 00330-1","64","2","0"
"655","331","Victim 00331-1","37","1","0"
"656","331","Victim 00331-2","55","2","0"
"657","331","Victim 00331-3","59","1","0"
"658","332","Victim 00332-1","62","2","0"
"659","332","Victim 00332-2","57","2","0"
"660","333","Victim 00333-1","48","1","0"
"661","334","Victim 00334-1","18","2","0"
"662","334","Victim 00334-2","15","1","0"
